,BAIRRO,ESPER,RENDA,IDHL,IDHE,IDHR,IDH
0,SAO CRISTOVAO,72.27,412.39,0.788,0.933,0.778,0.833
1,BENFICA,73.59,376.65,0.81,0.901,0.763,0.825
2,CAJU,68.9,236.59,0.732,0.843,0.685,0.753
3,CATUMBI,69.6,324.83,0.743,0.923,0.738,0.802
4,CENTRO,76.12,633.36,0.852,0.981,0.85,0.894
5,CIDADE NOVA,72.05,640.31,0.784,0.965,0.851,0.867
6,ESTACIO,73.71,413.05,0.812,0.897,0.778,0.829
7,GAMBOA,70.28,320.57,0.755,0.886,0.736,0.792
8,LAPA,76.12,633.36,0.852,0.981,0.85,0.894
9,MANGUEIRA,68.34,357.43,0.722,0.923,0.754,0.8
10,PAQUETA,74.06,457.61,0.818,0.854,0.795,0.822
11,RIO COMPRIDO,70.28,590.26,0.755,0.955,0.838,0.849
12,SANTA TERESA,74.06,701.19,0.818,0.95,0.867,0.878
13,SANTO CRISTO,70.28,320.57,0.755,0.886,0.736,0.792
14,SAUDE,70.28,320.57,0.755,0.886,0.736,0.792
15,VASCO DA GAMA,72.27,412.39,0.788,0.933,0.778,0.833
16,BOTAFOGO,78.25,1376.47,0.888,0.99,0.979,0.952
17,CATETE,74.99,822.22,0.833,0.978,0.893,0.901
18,COPACABANA,77.78,1623.42,0.88,0.99,1.0,0.956
19,COSME VELHO,74.06,701.19,0.818,0.95,0.867,0.878
20,FLAMENGO,77.91,1781.71,0.882,0.995,1.0,0.959
21,GAVEA,80.45,2139.56,0.924,0.987,1.0,0.97
22,GLORIA,77.37,1183.28,0.873,0.994,0.954,0.94
23,HUMAITA,77.91,1830.65,0.882,0.995,1.0,0.959
24,IPANEMA,78.68,2465.45,0.895,0.992,1.0,0.962
25,JARDIM BOTANICO,77.84,1952.77,0.881,0.991,1.0,0.957
26,LAGOA,77.91,2955.29,0.882,0.996,1.0,0.959
27,LARANJEIRAS,77.84,1679.22,0.881,0.992,1.0,0.957
28,LEBLON,79.47,2441.28,0.908,0.993,1.0,0.967
29,LEME,77.47,1713.89,0.875,0.992,1.0,0.955
30,SAO CONRADO,71.12,1131.47,0.769,0.905,0.946,0.873
31,URCA,78.25,1376.47,0.888,0.99,0.979,0.952
32,VIDIGAL,71.12,1131.47,0.769,0.905,0.946,0.873
33,ANIL,77.15,768.26,0.869,0.982,0.882,0.911
34,BARRA DA TIJUCA,77.84,2488.47,0.881,0.996,1.0,0.959
35,CAMORIM,66.3,279.09,0.688,0.836,0.713,0.746
36,CIDADE DE DEUS,66.66,207.56,0.694,0.894,0.663,0.751
37,CURICICA,72.57,362.72,0.793,0.935,0.757,0.828
38,FREGUESIA DE JACAREPAGUA,70.28,557.35,0.755,0.933,0.828,0.839
39,GARDENIA AZUL,67.79,274.68,0.713,0.88,0.71,0.768
40,GRUMARI,72.55,1166.18,0.793,0.939,0.952,0.894
41,ITANHANGA,70.28,650.96,0.755,0.857,0.854,0.822
42,JACAREPAGUA,67.51,331.44,0.709,0.858,0.742,0.769
43,JOA,77.84,2488.47,0.881,0.996,1.0,0.959
44,PRACA SECA,71.7,498.32,0.778,0.947,0.81,0.845
45,PECHINCHA,75.67,751.28,0.844,0.978,0.878,0.9
46,RECREIO DOS BANDEIRANTES,72.55,1166.18,0.793,0.939,0.952,0.894
47,TANQUE,71.49,439.87,0.775,0.929,0.789,0.831
48,TAQUARA,76.21,544.29,0.853,0.951,0.824,0.876
49,VARGEM GRANDE,66.3,279.09,0.688,0.836,0.713,0.746
50,VARGEM PEQUENA,66.3,279.09,0.688,0.836,0.713,0.746
51,VILA VALQUEIRE,77.47,684.94,0.875,0.975,0.863,0.904
52,JARDIM SULACAP,77.84,1134.93,0.888,0.989,0.957,0.944
53,BANGU,69.78,296.55,0.746,0.913,0.723,0.794
54,CAMPO DOS AFONSOS,73.59,462.13,0.81,0.963,0.797,0.856
55,DEODORO,73.59,462.13,0.81,0.963,0.797,0.856
56,MAGALHAES BASTOS,68.9,318.03,0.732,0.939,0.735,0.802
57,PADRE MIGUEL,70.11,313.85,0.752,0.929,0.732,0.804
58,REALENGO,69.63,316.41,0.744,0.931,0.734,0.803
59,SANTISSIMO,69.36,256.08,0.739,0.903,0.698,0.78
60,SENADOR CAMARA,67.39,251.09,0.707,0.903,0.695,0.768
61,VILA MILITAR,73.59,462.13,0.81,0.963,0.797,0.856
62,BARRA DE GUARATIBA,66.66,234.37,0.694,0.853,0.684,0.744
63,CAMPO GRANDE,69.8,351.11,0.747,0.931,0.751,0.81
64,COSMOS,67.51,205.9,0.709,0.906,0.662,0.759
65,GUARATIBA,66.66,234.37,0.694,0.853,0.684,0.744
66,INHOAIBA,65.99,207.61,0.683,0.895,0.663,0.747
67,PACIENCIA,66.66,203.43,0.694,0.899,0.66,0.751
68,PEDRA DE GUARATIBA,66.66,234.37,0.694,0.853,0.684,0.744
69,SANTA CRUZ,65.52,206.23,0.675,0.887,0.662,0.742
70,SENADOR VASCONCELOS,69.68,302.44,0.745,0.935,0.726,0.802
71,SEPETIBA,66.3,264.8,0.688,0.89,0.704,0.761
72,ALTO DA BOA VISTA,75.04,1204.61,0.834,0.987,0.957,0.926
73,ANDARAI,74.99,897.07,0.833,0.987,0.908,0.909
74,GRAJAU,77.84,1134.93,0.881,0.986,0.947,0.938
75,MARACANA,77.91,1206.73,0.882,0.993,0.957,0.944
76,PRACA DA BANDEIRA,72.05,640.31,0.784,0.965,0.851,0.867
77,TIJUCA,75.04,1204.61,0.834,0.987,0.957,0.926
78,VILA ISABEL,73.46,931.25,0.808,0.981,0.914,0.901
79,ABOLICAO,73.28,467.23,0.805,0.966,0.799,0.857
80,AGUA SANTA,76.21,496.66,0.853,0.969,0.809,0.877
81,CACHAMBI,75.7,709.05,0.845,0.988,0.868,0.9
82,DEL CASTILHO,72.66,505.4,0.794,0.974,0.812,0.86
83,ENCANTADO,76.21,496.66,0.853,0.969,0.809,0.877
84,ENGENHO DE DENTRO,72.66,536.54,0.794,0.954,0.822,0.857
85,ENGENHO NOVO,72.37,573.33,0.789,0.953,0.833,0.858
86,HIGIENOPOLIS,74.06,614.41,0.818,0.983,0.845,0.882
87,JACARE,70.64,513.62,0.761,0.941,0.815,0.839
88,JACAREZINHO,66.3,177.98,0.688,0.867,0.638,0.731
89,LINS DE VASCONCELOS,72.73,583.35,0.795,0.945,0.836,0.859
90,MANGUINHOS,66.3,188.86,0.688,0.842,0.648,0.726
91,MARIA DA GRACA,72.66,505.4,0.794,0.974,0.812,0.86
92,MEIER,77.37,1000.16,0.873,0.993,0.926,0.931
93,PIEDADE,72.66,447.64,0.794,0.966,0.792,0.85
94,PILARES,72.55,389.81,0.793,0.932,0.769,0.831
95,RIACHUELO,76.44,715.92,0.857,0.989,0.87,0.905
96,ROCHA,70.64,513.62,0.761,0.941,0.815,0.839
97,SAMPAIO,70.64,513.62,0.761,0.941,0.815,0.839
98,SAO FRANCISCO XAVIER,68.34,357.43,0.722,0.923,0.754,0.8
99,TODOS OS SANTOS,77.91,825.91,0.882,0.99,0.894,0.922
100,BONSUCESSO,74.7,552.99,0.828,0.928,0.827,0.861
101,BANCARIOS,74.06,518.28,0.818,0.949,0.816,0.861
102,CACUIA,72.85,527.2,0.797,0.961,0.819,0.859
103,CIDADE UNIVERSITARIA,67.79,300.31,0.713,0.895,0.725,0.778
104,COCOTA,74.06,518.28,0.818,0.949,0.816,0.861
105,FREGUESIA,75.07,766.82,0.834,0.979,0.882,0.898
106,GALEAO,67.79,300.31,0.713,0.895,0.725,0.778
107,JARDIM CARIOCA,72.66,436.33,0.794,0.927,0.787,0.836
108,JARDIM GUANABARA,80.47,1316.86,0.924,0.993,0.972,0.963
109,MARE,66.58,187.25,0.693,0.826,0.646,0.722
110,MONERO,76.43,730.4,0.857,0.981,0.873,0.904
111,OLARIA,73.87,460.31,0.814,0.949,0.796,0.853
112,PITANGUEIRAS,73.53,517.83,0.809,0.95,0.816,0.858
113,PORTUGUESA,76.43,730.4,0.857,0.981,0.873,0.904
114,PRAIA DA BANDEIRA,73.53,517.83,0.809,0.95,0.816,0.858
115,RAMOS,73.94,508.76,0.816,0.943,0.813,0.857
116,RIBEIRA,72.85,527.2,0.797,0.961,0.819,0.859
117,TAUA,71.24,416.19,0.771,0.901,0.78,0.817
118,ZUMBI,73.53,517.83,0.809,0.95,0.816,0.858
119,ACARI,63.93,174.12,0.649,0.876,0.634,0.72
120,ANCHIETA,68.9,278.18,0.732,0.92,0.712,0.788
121,BARROS FILHO,66.66,198.96,0.694,0.898,0.656,0.75
122,BENTO RIBEIRO,75.05,399.85,0.834,0.947,0.773,0.851
123,BRAS DE PINA,72.66,397.15,0.794,0.938,0.772,0.835
124,CAMPINHO,77.47,684.94,0.875,0.975,0.863,0.904
125,CAVALCANTI,70.41,328.64,0.757,0.924,0.74,0.807
126,CASCADURA,72.15,428.76,0.786,0.928,0.785,0.833
127,COELHO NETO,70.86,299.89,0.764,0.928,0.725,0.806
128,COLEGIO,67.33,262.37,0.706,0.878,0.703,0.762
129,COMPLEXO DO ALEMAO,64.79,177.31,0.663,0.834,0.637,0.7
130,CORDOVIL,68.32,290.49,0.722,0.932,0.72,0.791
131,COSTA BARROS,63.93,175.0,0.649,0.856,0.635,0.713
132,ENGENHEIRO LEAL,70.41,328.64,0.757,0.924,0.74,0.807
133,ENGENHO DA RAINHA,73.36,362.62,0.806,0.944,0.757,0.835
134,GUADALUPE,70.11,336.89,0.752,0.934,0.744,0.81
135,HONORIO GURGEL,69.88,303.98,0.748,0.937,0.727,0.804
136,INHAUMA,70.64,324.3,0.761,0.931,0.738,0.81
137,IRAJA,62.81,473.39,0.63,0.964,0.801,0.798
138,JARDIM AMERICA,72.66,426.12,0.794,0.939,0.783,0.839
139,MADUREIRA,70.97,419.81,0.766,0.947,0.781,0.831
140,MARECHAL HERMES,70.11,366.28,0.752,0.933,0.758,0.814
141,OSWALDO CRUZ,73.59,441.34,0.81,0.965,0.789,0.855
142,PARADA DE LUCAS,65.35,220.27,0.672,0.89,0.673,0.745
143,PARQUE ANCHIETA,73.71,355.31,0.812,0.933,0.753,0.833
144,PARQUE COLUMBIA,63.93,174.12,0.649,0.876,0.634,0.72
145,PAVUNA,69.27,286.38,0.738,0.915,0.717,0.79
146,PENHA,69.59,373.05,0.743,0.908,0.761,0.804
147,PENHA CIRCULAR,71.15,444.77,0.769,0.919,0.791,0.826
148,QUINTINO BOCAIUVA,73.91,424.67,0.815,0.952,0.783,0.85
149,QUINTINO BOCAIUVA,73.91,424.67,0.815,0.952,0.783,0.85
150,RICARDO DE ALBUQUERQUE,70.97,283.0,0.766,0.94,0.715,0.807
151,ROCHA MIRANDA,70.99,338.1,0.766,0.934,0.745,0.815
152,TOMAS COELHO,69.88,325.92,0.748,0.919,0.739,0.802
153,TURIACU,70.11,336.57,0.752,0.94,0.744,0.812
154,VAZ LOBO,70.41,328.64,0.757,0.924,0.74,0.807
155,VICENTE DE CARVALHO,67.51,296.63,0.709,0.887,0.723,0.773
156,VIGARIO GERAL,66.66,296.6,0.694,0.873,0.723,0.763
157,VILA DA PENHA,77.64,669.34,0.877,0.992,0.859,0.909
158,VILA KOSMOS,77.2,498.82,0.87,0.949,0.81,0.876
159,VISTA ALEGRE,62.81,473.39,0.63,0.964,0.801,0.798
